date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-30,2020-01-30,India,4,0,3,0,1
2020-01-31,2020-01-31,India,11,0,7,0,1
2020-02-01,2020-02-01,India,22,0,11,0,1
2020-02-02,2020-02-02,India,33,0,11,0,1
2020-02-03,2020-02-03,India,44,0,11,0,1
2020-02-04,2020-02-04,India,56,0,12,0,1
2020-02-05,2020-02-05,India,71,0,15,0,1
2020-02-06,2020-02-06,India,88,0,17,0,1
2020-02-07,2020-02-07,India,107,0,19,0,1
2020-02-08,2020-02-08,India,125,0,18,0,1
2020-02-09,2020-02-09,India,143,0,18,0,1
2020-02-10,2020-02-10,India,162,0,19,0,1
2020-02-11,2020-02-11,India,182,0,20,0,1
2020-02-12,2020-02-12,India,201,0,19,0,1
2020-02-13,2020-02-13,India,220,0,19,0,1
2020-02-14,2020-02-14,India,239,0,19,0,1
2020-02-15,2020-02-15,India,258,0,19,0,1
2020-02-16,2020-02-16,India,276,0,18,0,1
2020-02-17,2020-02-17,India,293,0,17,0,1
2020-02-18,2020-02-18,India,310,0,17,0,1
2020-02-19,2020-02-19,India,327,0,17,0,1
2020-02-20,2020-02-20,India,344,0,17,0,1
2020-02-21,2020-02-21,India,363,0,19,0,1
2020-02-22,2020-02-22,India,382,0,19,0,1
2020-02-23,2020-02-23,India,400,0,18,0,1
2020-02-24,2020-02-24,India,418,0,18,0,1
2020-02-25,2020-02-25,India,436,0,18,0,1
2020-02-26,2020-02-26,India,455,0,19,0,1
2020-02-27,2020-02-27,India,474,0,19,0,1
2020-02-28,2020-02-28,India,494,0,20,0,1
2020-02-29,2020-02-29,India,512,0,18,0,1
2020-03-01,2020-03-01,India,530,0,18,0,1
2020-03-02,2020-03-02,India,545,0,15,0,1
2020-03-03,2020-03-03,India,561,0,16,0,1
2020-03-04,2020-03-04,India,593,0,32,0,1
2020-03-05,2020-03-05,India,618,0,25,0,1
2020-03-06,2020-03-06,India,637,0,19,0,1
2020-03-07,2020-03-07,India,653,0,16,0,1
2020-03-08,2020-03-08,India,669,0,16,0,1
2020-03-09,2020-03-09,India,683,0,14,0,1
2020-03-10,2020-03-10,India,704,0,21,0,1
2020-03-11,2020-03-11,India,725,1,21,1,1
2020-03-12,2020-03-12,India,750,1,25,0,1
2020-03-13,2020-03-13,India,776,2,26,1,1
2020-03-14,2020-03-14,India,812,2,36,0,1
2020-03-15,2020-03-15,India,849,2,37,0,1
2020-03-16,2020-03-16,India,881,2,32,0,1
2020-03-17,2020-03-17,India,925,3,44,1,1
2020-03-18,2020-03-18,India,970,3,45,0,1
2020-03-19,2020-03-19,India,1037,4,67,1,1
2020-03-20,2020-03-20,India,1131,5,94,1,1
2020-03-21,2020-03-21,India,1278,4,147,-1,1
2020-03-22,2020-03-22,India,1448,7,170,3,1
2020-03-23,2020-03-23,India,1667,10,219,3,1
2020-03-24,2020-03-24,India,1865,10,198,0,1
2020-03-25,2020-03-25,India,2120,12,255,2,1
2020-03-26,2020-03-26,India,2373,20,253,8,1
2020-03-27,2020-03-27,India,2703,20,330,0,1
2020-03-28,2020-03-28,India,3038,24,335,4,1
2020-03-29,2020-03-29,India,3319,27,281,3,1
2020-03-30,2020-03-30,India,3725,32,406,5,1
2020-03-31,2020-03-31,India,4156,35,431,3,1
2020-04-01,2020-04-01,India,4993,58,837,23,1
2020-04-02,2020-04-02,India,6095,72,1102,14,1
2020-04-03,2020-04-03,India,6945,72,850,0,1
2020-04-04,2020-04-04,India,8022,86,1077,14,1
2020-04-05,2020-04-05,India,9262,99,1240,13,1
2020-04-06,2020-04-06,India,11169,136,1907,37,1
2020-04-07,2020-04-07,India,13061,150,1892,14,1
2020-04-08,2020-04-08,India,14992,178,1931,28,1
2020-04-09,2020-04-09,India,17110,226,2118,48,1
2020-04-10,2020-04-10,India,19416,246,2306,20,1
2020-04-11,2020-04-11,India,21838,288,2422,42,1
2020-04-12,2020-04-12,India,24270,331,2432,43,1
2020-04-13,2020-04-13,India,27081,358,2811,27,1
2020-04-14,2020-04-14,India,30013,393,2932,35,1
2020-04-15,2020-04-15,India,32871,405,2858,12,1
2020-04-16,2020-04-16,India,35877,448,3006,43,1
2020-04-17,2020-04-17,India,38843,486,2966,38,1
2020-04-18,2020-04-18,India,42112,521,3269,35,1
2020-04-19,2020-04-19,India,45976,559,3864,38,1
2020-04-20,2020-04-20,India,49580,592,3604,33,1
2020-04-21,2020-04-21,India,53436,645,3856,53,1
2020-04-22,2020-04-22,India,57294,681,3858,36,1
2020-04-23,2020-04-23,India,61444,721,4150,40,1
2020-04-24,2020-04-24,India,65630,780,4186,59,1
2020-04-25,2020-04-25,India,70045,825,4415,45,1
2020-04-26,2020-04-26,India,74526,881,4481,56,1
2020-04-27,2020-04-27,India,79015,939,4489,58,1
2020-04-28,2020-04-28,India,83717,1008,4702,69,1
2020-04-29,2020-04-29,India,88483,1079,4766,71,1
2020-04-30,2020-04-30,India,93332,1154,4849,75,1
2020-05-01,2020-05-01,India,98623,1223,5291,69,1
2020-05-02,2020-05-02,India,104276,1323,5653,100,1
2020-05-03,2020-05-03,India,110413,1391,6137,68,1
2020-05-04,2020-05-04,India,117498,1566,7085,175,1
2020-05-05,2020-05-05,India,124801,1693,7303,127,1
2020-05-06,2020-05-06,India,132582,1785,7781,92,1
2020-05-07,2020-05-07,India,140599,1889,8017,104,1
2020-05-08,2020-05-08,India,148767,1985,8168,96,1
2020-05-09,2020-05-09,India,156907,2101,8140,116,1
2020-05-10,2020-05-10,India,165611,2212,8704,111,1
2020-05-11,2020-05-11,India,174385,2294,8774,82,1
2020-05-12,2020-05-12,India,183152,2415,8767,121,1
2020-05-13,2020-05-13,India,192015,2551,8863,136,1
2020-05-14,2020-05-14,India,201020,2649,9005,98,1
2020-05-15,2020-05-15,India,210046,2753,9026,104,1
2020-05-16,2020-05-16,India,219542,2871,9496,118,1
2020-05-17,2020-05-17,India,229458,3025,9916,154,1
2020-05-18,2020-05-18,India,239517,3156,10059,131,1
2020-05-19,2020-05-19,India,250210,3302,10693,146,1
2020-05-20,2020-05-20,India,261182,3434,10972,132,1
2020-05-21,2020-05-21,India,272559,3584,11377,150,1
2020-05-22,2020-05-22,India,284339,3726,11780,142,1
2020-05-23,2020-05-23,India,296426,3868,12087,142,1
2020-05-24,2020-05-24,India,308861,4024,12435,156,1
2020-05-25,2020-05-25,India,321349,4172,12488,148,1
2020-05-26,2020-05-26,India,333680,4344,12331,172,1
2020-05-27,2020-05-27,India,346288,4534,12608,190,1
2020-05-28,2020-05-28,India,359095,4711,12807,177,1
2020-05-29,2020-05-29,India,372232,4980,13137,269,1
2020-05-30,2020-05-30,India,385658,5185,13426,205,1
2020-05-31,2020-05-31,India,399385,5408,13727,223,1
2020-06-01,2020-06-01,India,413099,5608,13714,200,1
2020-06-02,2020-06-02,India,427021,5829,13922,221,1
2020-06-03,2020-06-03,India,441250,6088,14229,259,1
2020-06-04,2020-06-04,India,455749,6363,14499,275,1
2020-06-05,2020-06-05,India,470359,6649,14610,286,1
2020-06-06,2020-06-06,India,485222,6946,14863,297,1
2020-06-07,2020-06-07,India,500342,7207,15120,261,1
2020-06-08,2020-06-08,India,515170,7473,14828,266,1
2020-06-09,2020-06-09,India,530112,7750,14942,277,1
2020-06-10,2020-06-10,India,545174,8102,15062,352,1
2020-06-11,2020-06-11,India,560403,8498,15229,396,1
2020-06-12,2020-06-12,India,575845,8884,15442,386,1
2020-06-13,2020-06-13,India,591524,9195,15679,311,1
2020-06-14,2020-06-14,India,607297,9520,15773,325,1
2020-06-15,2020-06-15,India,622977,9900,15680,380,1
2020-06-16,2020-06-16,India,638631,11903,15654,2003,1
2020-06-17,2020-06-17,India,654599,12237,15968,334,1
2020-06-18,2020-06-18,India,670930,12573,16331,336,1
2020-06-19,2020-06-19,India,687706,12948,16776,375,1
2020-06-20,2020-06-20,India,704986,13254,17280,306,1
2020-06-21,2020-06-21,India,722529,13699,17543,445,1
2020-06-22,2020-06-22,India,740278,14011,17749,312,1
2020-06-23,2020-06-23,India,758376,14476,18098,465,1
2020-06-24,2020-06-24,India,776925,14894,18549,418,1
2020-06-25,2020-06-25,India,795886,15301,18961,407,1
2020-06-26,2020-06-26,India,815423,15685,19537,384,1
2020-06-27,2020-06-27,India,835700,16095,20277,410,1
2020-06-28,2020-06-28,India,856420,16475,20720,380,1
2020-06-29,2020-06-29,India,877240,16893,20820,418,1
2020-06-30,2020-06-30,India,898139,17400,20899,507,1
2020-07-01,2020-07-01,India,919195,17834,21056,434,1
2020-07-02,2020-07-02,India,940767,18213,21572,379,1
2020-07-03,2020-07-03,India,963187,18655,22420,442,1
2020-07-04,2020-07-04,India,986786,19268,23599,613,1
2020-07-05,2020-07-05,India,1011106,19693,24320,425,1
2020-07-06,2020-07-06,India,1035429,20159,24323,466,1
2020-07-07,2020-07-07,India,1059850,20642,24421,483,1
2020-07-08,2020-07-08,India,1084877,21129,25027,487,1
2020-07-09,2020-07-09,India,1110786,21604,25909,475,1
2020-07-10,2020-07-10,India,1137514,22123,26728,519,1
2020-07-11,2020-07-11,India,1165258,22673,27744,550,1
2020-07-12,2020-07-12,India,1193786,23174,28528,501,1
2020-07-13,2020-07-13,India,1222812,23727,29026,553,1
2020-07-14,2020-07-14,India,1252446,24309,29634,582,1
2020-07-15,2020-07-15,India,1283444,24914,30998,605,1
2020-07-16,2020-07-16,India,1316125,25602,32681,688,1
2020-07-17,2020-07-17,India,1350138,26273,34013,671,1
2020-07-18,2020-07-18,India,1386142,26816,36004,543,1
2020-07-19,2020-07-19,India,1424136,27497,37994,681,1
2020-07-20,2020-07-20,India,1462620,28082,38484,585,1
2020-07-21,2020-07-21,India,1501589,28732,38969,650,1
2020-07-22,2020-07-22,India,1543240,29861,41651,1129,1
2020-07-23,2020-07-23,India,1587966,30601,44726,740,1
2020-07-24,2020-07-24,India,1634864,31358,46898,757,1
2020-07-25,2020-07-25,India,1683252,32060,48388,702,1
2020-07-26,2020-07-26,India,1733100,32771,49848,711,1
2020-07-27,2020-07-27,India,1782321,33408,49221,637,1
